Designator,Comment,Footprint,Center-X(mm),Center-Y(mm),Center-X(mm),Center-Y(mm),Description,,,Center-X(mm),Center-Y(mm),Rotation
L3,10uH,Inductor0630CDMCD,,,-70.866,16.637,,,,70.866,-16.637,270
L2,Inductor2016,Inductor2016,,,-40.232,10.1,,,,40.232,-10.1,0
L1,6.8uH,Inductor_-_duplicate,,,-90.076,31.323,Sumida Inductor,,,90.076,-31.323,180
D3,PMEG3050EP*,Diode_PMEG3050EP,,,-67.564,9.271,,,,67.564,-9.271,0
D2,26.7V Breakdown,SMBJ24CA,,,-14.794,11.497,,,,14.794,-11.497,270
D1,PMEG3050EP*,Diode_PMEG3050EP,,,-23.303,10.989,,,,23.303,-10.989,270
C46,C0805,805,,,-62.292,17.72,Ceramic Chip Capacitor - Standard,,,62.292,-17.72,180
C45,C0402,402,,,-67.056,13.716,Ceramic Chip Capacitor - Standard,,,67.056,-13.716,90
C44,C1206,1206,,,-48.957,11.497,Ceramic Chip Capacitor - Standard,,,48.957,-11.497,90
C43,C0805,805,,,-35.622,3.623,Ceramic Chip Capacitor - Standard,,,35.622,-3.623,270
C42,C0603,603,,,-19.239,9.719,100V 20%,,,19.239,-9.719,90
C41,T495X,X,,,-44.512,13.275,"Solid Tantalum Chip Capacitor, Standard T495 Series - 35V 10%",,,44.512,-13.275,270
C40,T495X,X,,,-35.495,13.148,"Solid Tantalum Chip Capacitor, Standard T495 Series - 35V 10%",,,35.495,-13.148,270
C39,C1206,1206,,,-58.42,8.128,Ceramic Chip Capacitor - Standard,,,58.42,-8.128,0
C38,C0603,603,,,-101.535,-0.06,Ceramic Chip Capacitor - Standard,,,101.535,0.06,270
C37,C0603,603,,,-82.231,38.929,Ceramic Chip Capacitor - Standard,,,82.231,-38.929,0
C36,2.2uF,402,,,-84.009,51.248,Ceramic Chip Capacitor - Standard,,,84.009,-51.248,180
C35,T495X227K010ATE050,X,,,-81.596,55.439,"Solid Tantalum Chip Capacitor, Standard T495 Series - Low ESR, Surge Robust",,,81.596,-55.439,180
C30,10nF,402,,,-77.427,116.106,Ceramic Chip Capacitor - Standard,,,77.427,-116.106,180
C29,10nF,402,,,-103.948,152.59,Ceramic Chip Capacitor - Standard,,,103.948,-152.59,90
C28,1.0uF,402,,,-77.554,114.201,Ceramic Chip Capacitor - Standard,,,77.554,-114.201,0
C27,1.0uF,402,,,-69.299,114.201,Ceramic Chip Capacitor - Standard,,,69.299,-114.201,180
C26,1.0uF,402,,,-105.98,152.717,Ceramic Chip Capacitor - Standard,,,105.98,-152.717,270
C25,1.0uF,402,,,-105.98,144.716,Ceramic Chip Capacitor - Standard,,,105.98,-144.716,90
C24,1.0uF,402,,,-130.64,56.543,Ceramic Chip Capacitor - Standard,,,130.64,-56.543,90
C23,1.0uF,402,,,-135.7821,56.2157,Ceramic Chip Capacitor - Standard,,,135.7821,-56.2157,90
C22,100nF,402,,,-117.537,116.018,Ceramic Chip Capacitor - Standard,,,117.537,-116.018,270
C21,1.0uF,402,,,-119.061,116.018,Ceramic Chip Capacitor - Standard,,,119.061,-116.018,270
C20,100nF,402,,,-116.013,116.018,Ceramic Chip Capacitor - Standard,,,116.013,-116.018,90
C19,1.0uF,402,,,-111.209,61.115,Ceramic Chip Capacitor - Standard,,,111.209,-61.115,0
C18,0.1uF,402,,,-120.988,107.851,Ceramic Chip Capacitor - Standard,,,120.988,-107.851,90
C17,1.0uF,402,,,-111.717,73.434,Ceramic Chip Capacitor - Standard,,,111.717,-73.434,90
C16,0.01uF,402,,,-123.782,68.989,Ceramic Chip Capacitor - Standard,,,123.782,-68.989,90
C15,1uF,402,,,-120.988,76.736,Ceramic Chip Capacitor - Standard,,,120.988,-76.736,270
C14,0.1uF,402,,,-121.75,68.862,Ceramic Chip Capacitor - Standard,,,121.75,-68.862,90
C13,0.1uF,402,,,-121.496,58.702,Ceramic Chip Capacitor - Standard,,,121.496,-58.702,90
C12,0.01uF,402,,,-116.972,74.915,Ceramic Chip Capacitor - Standard,,,116.972,-74.915,90
C11,0.1uF,402,,,-124.29,65.306,Ceramic Chip Capacitor - Standard,,,124.29,-65.306,180
C10,1uF,402,,,-115.273,81.689,Ceramic Chip Capacitor - Standard,,,115.273,-81.689,0
C9,0.1uF,402,,,-114.94,74.788,Ceramic Chip Capacitor - Standard,,,114.94,-74.788,90
C8,0.1uF,402,,,-125.814,55.781,Ceramic Chip Capacitor - Standard,,,125.814,-55.781,90
C7,0.01uF,402,,,-120.441,48.9806,Ceramic Chip Capacitor - Standard,,,120.441,-48.9806,180
C6,1uF,402,,,-128.442,50.8856,Ceramic Chip Capacitor - Standard,,,128.442,-50.8856,0
C5,0.1uF,402,,,-120.441,50.8856,Ceramic Chip Capacitor - Standard,,,120.441,-50.8856,180
C4,0.1uF,402,,,-131.021,59.718,Ceramic Chip Capacitor - Standard,,,131.021,-59.718,0
C3,0.1uF,402,,,-99.017,34.572,Ceramic Chip Capacitor - Standard,,,99.017,-34.572,90
C2,10uF,Tant0805,,,-101.049,34.572,,,,101.049,-34.572,270
C1,0.1uF,402,,,-77.173,72.291,Ceramic Chip Capacitor - Standard,,,77.173,-72.291,0
