Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
R2,100k,TopLayer,3-0603,-60.7624,3.022,0,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R3,100k,TopLayer,3-0603,-59.3654,17.373,0,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R4,100k,TopLayer,3-0603,-59.3654,15.849,180,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R5,20k,TopLayer,3-0603,-84.836,55.372,360,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
U,LD39200PU33R,TopLayer,SON95P300X300X100-7N,-88.9,56.388,360,Linear Voltage Regulator IC 1 Output 2A 6-DFN _3x3_
U1,MAX4996ETG+,TopLayer,QFN40P350X350X80-25N,-36.8864,47.218,270,3 Circuit IC Switch 2:2 4Ohm 24-TQFN (4x4)
U10,LP3985IM5-3.3,TopLayer,MF05A_N,-86.4164,8.483,180,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U11,LP3985IM5-3.3,TopLayer,MF05A_N,-30.6634,21.945,360,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U12,TPS61032,TopLayer,TPS6103x,-58.4764,9.118,180,Boost converter
U2,LP3985IM5-3.3,TopLayer,MF05A_N,-11.855,10.2966,360,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U3,SGTL5000,TopLayer,QFN32,-11.825,18.8466,90,SGTL5000
U4,LP3985IM5-3.3,TopLayer,MF05A_N,-4.8,6.0396,360,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U5,LP3985IM5-3.3,TopLayer,MF05A_N,-11.277,25.9786,180,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U6,TLV70018DCKR,TopLayer,TI-DCK5_V,-21.31,19.6286,270,"Single Output LDO, 200 mA, Fixed 1.8 V Output, 2 to 5.5 V Input, with Low IQ, 5-pin SC70 (DCK), -40 to 125 degC, Green (RoHS & no Sb/Br)"
U7,ADXL343,TopLayer,ADXL345,-42.1749,37.039,0,
U8,LIS3MDL,TopLayer,LGA-12,-49.4974,36.8,0,magnetometer
